id,loan_status,prob
58645,1,0.9097
58646,0,0.0267
58647,0,0.4856
58648,0,0.0248
58649,0,0.1729
58650,1,0.9001
58651,0,0.0034
58652,0,0.0171
58653,0,0.2559
58654,0,0.0362
58655,0,0.0623
58656,0,0.1783
58657,0,0.0409
58658,0,0.0152
58659,0,0.0334
58660,0,0.0992
58661,0,0.0133
58662,0,0.0025
58663,0,0.0394
58664,0,0.0042
58665,0,0.0634
58666,0,0.012
58667,0,0.007
58668,0,0.0193
58669,0,0.0134
58670,0,0.0042
58671,0,0.2072
58672,0,0.0086
58673,1,0.818
58674,0,0.0036
58675,0,0.0203
58676,0,0.2281
58677,0,0.028
58678,0,0.0089
58679,0,0.4483
58680,1,0.919
58681,0,0.0446
58682,0,0.0048
58683,0,0.0218
58684,0,0.0748
58685,0,0.1527
58686,0,0.0327
58687,0,0.2728
58688,0,0.0214
58689,0,0.2704
58690,0,0.0015
58691,0,0.039
58692,0,0.0468
58693,0,0.0133
58694,0,0.028
58695,1,0.7352
58696,0,0.0297
58697,0,0.0702
58698,0,0.0269
58699,0,0.02
58700,0,0.0097
58701,0,0.0176
58702,0,0.0288
58703,0,0.1322
58704,0,0.2247
58705,0,0.2578
58706,0,0.0807
58707,0,0.0192
58708,0,0.031
58709,1,0.8398
58710,0,0.028
58711,1,0.8575
58712,0,0.0388
58713,0,0.0056
58714,0,0.0425
58715,0,0.0092
58716,0,0.0679
58717,0,0.0179
58718,0,0.1429
58719,0,0.0062
58720,0,0.0027
58721,0,0.0871
58722,0,0.1517
58723,0,0.0302
58724,0,0.0211
58725,0,0.03
58726,0,0.021
58727,0,0.3312
58728,0,0.1272
58729,0,0.0117
58730,0,0.0081
58731,0,0.0209
58732,0,0.0558
58733,0,0.0009
58734,0,0.0233
58735,0,0.0291
58736,0,0.1306
58737,0,0.075
58738,1,0.9274
58739,0,0.2751
58740,1,0.6042
58741,0,0.0381
58742,0,0.0101
58743,0,0.0388
58744,0,0.0188
58745,0,0.0146
58746,0,0.0597
58747,0,0.0131
58748,0,0.0249
58749,0,0.0386
58750,0,0.0182
58751,0,0.0667
58752,1,0.9063
58753,0,0.0082
58754,0,0.0578
58755,0,0.0672
58756,0,0.009
58757,0,0.0343
58758,0,0.0121
58759,0,0.0015
58760,0,0.0019
58761,0,0.0185
58762,0,0.0106
58763,1,0.9561
58764,0,0.0039
58765,0,0.0614
58766,0,0.0171
58767,0,0.0264
58768,1,0.9353
58769,0,0.015
58770,0,0.0413
58771,0,0.0941
58772,0,0.0327
58773,0,0.035
58774,0,0.0228
58775,1,0.8968
58776,1,0.823
58777,0,0.0245
58778,0,0.0369
58779,0,0.0406
58780,0,0.0175
58781,0,0.0267
58782,0,0.0423
58783,0,0.0911
58784,0,0.0134
58785,0,0.0094
58786,0,0.0229
58787,0,0.045
58788,0,0.1336
58789,0,0.0603
58790,0,0.072
58791,0,0.1017
58792,0,0.0015
58793,0,0.0622
58794,0,0.0238
58795,0,0.0481
58796,0,0.0359
58797,0,0.0309
58798,0,0.0937
58799,1,0.5911
58800,0,0.0555
58801,0,0.0086
58802,1,0.8374
58803,0,0.1271
58804,0,0.4849
58805,1,0.7201
58806,0,0.0581
58807,0,0.0138
58808,0,0.0146
58809,1,0.9397
58810,1,0.9102
58811,0,0.0318
58812,0,0.0539
58813,0,0.0204
58814,0,0.0639
58815,0,0.0255
58816,0,0.0285
58817,0,0.0033
58818,0,0.0638
58819,0,0.0906
58820,0,0.0057
58821,0,0.0371
58822,0,0.0089
58823,0,0.171
58824,0,0.0368
58825,0,0.0036
58826,0,0.1054
58827,0,0.0742
58828,0,0.0088
58829,0,0.0648
58830,0,0.0156
58831,0,0.0498
58832,0,0.0331
58833,0,0.0092
58834,0,0.0184
58835,1,0.9456
58836,0,0.072
58837,0,0.1629
58838,0,0.0193
58839,0,0.0036
58840,0,0.0155
58841,1,0.8661
58842,0,0.0067
58843,0,0.0445
58844,0,0.046
58845,0,0.0363
58846,0,0.0014
58847,1,0.9368
58848,0,0.1727
58849,0,0.4407
58850,0,0.0468
58851,0,0.0616
58852,0,0.2221
58853,0,0.0436
58854,1,0.9806
58855,0,0.4808
58856,0,0.006
58857,0,0.0955
58858,0,0.2355
58859,0,0.0248
58860,0,0.0103
58861,0,0.0765
58862,0,0.1491
58863,0,0.4221
58864,0,0.0243
58865,0,0.3655
58866,0,0.0152
58867,0,0.0016
58868,0,0.0216
58869,0,0.0278
58870,0,0.2677
58871,0,0.0097
58872,0,0.042
58873,0,0.0157
58874,1,0.9527
58875,0,0.0218
58876,0,0.0197
58877,0,0.0046
58878,0,0.0318
58879,0,0.0242
58880,0,0.0141
58881,0,0.024
58882,0,0.007
58883,0,0.3224
58884,0,0.2828
58885,0,0.0472
58886,0,0.0033
58887,1,0.917
58888,0,0.2392
58889,1,0.9427
58890,0,0.1399
58891,0,0.1249
58892,0,0.0427
58893,0,0.0211
58894,0,0.0349
58895,0,0.0071
58896,0,0.0064
58897,0,0.0514
58898,0,0.1512
58899,1,0.9398
58900,0,0.0269
58901,0,0.0576
58902,0,0.1478
58903,0,0.0058
58904,0,0.0653
58905,0,0.0056
58906,0,0.0921
58907,0,0.0642
58908,0,0.0067
58909,0,0.0774
58910,0,0.003
58911,0,0.0235
58912,0,0.0021
58913,0,0.0491
58914,0,0.0209
58915,0,0.0283
58916,0,0.0292
58917,0,0.0736
58918,0,0.0185
58919,0,0.0081
58920,0,0.4182
58921,0,0.0184
58922,0,0.0459
58923,0,0.0106
58924,0,0.0406
58925,0,0.0353
58926,0,0.1431
58927,0,0.0438
58928,0,0.1016
58929,0,0.0047
58930,0,0.0275
58931,1,0.9235
58932,1,0.7706
58933,0,0.1195
58934,0,0.0901
58935,0,0.0271
58936,0,0.0344
58937,0,0.0141
58938,0,0.0172
58939,0,0.0158
58940,0,0.0155
58941,1,0.94
58942,1,0.8781
58943,0,0.0145
58944,0,0.0379
58945,0,0.0481
58946,0,0.0299
58947,0,0.0241
58948,0,0.0216
58949,0,0.0058
58950,0,0.2027
58951,0,0.0447
58952,0,0.0125
58953,0,0.014
58954,1,0.9765
58955,0,0.0264
58956,0,0.0043
58957,1,0.9586
58958,1,0.9858
58959,0,0.0093
58960,0,0.0321
58961,0,0.0095
58962,0,0.1922
58963,0,0.038
58964,0,0.0422
58965,0,0.0308
58966,0,0.0258
58967,0,0.0127
58968,0,0.0147
58969,0,0.3081
58970,0,0.01
58971,0,0.0946
58972,0,0.1235
58973,1,0.9458
58974,0,0.0374
58975,0,0.1422
58976,0,0.0783
58977,0,0.038
58978,0,0.0271
58979,0,0.0444
58980,0,0.0258
58981,0,0.0069
58982,0,0.0128
58983,0,0.0085
58984,0,0.021
58985,0,0.1589
58986,1,0.9459
58987,0,0.0091
58988,0,0.0696
58989,0,0.0422
58990,0,0.0052
58991,0,0.0238
58992,0,0.0244
58993,0,0.0069
58994,0,0.0224
58995,1,0.9875
58996,0,0.047
58997,1,0.7922
58998,0,0.0055
58999,0,0.0237
59000,0,0.0731
59001,0,0.0854
59002,0,0.0316
59003,0,0.0729
59004,0,0.0363
59005,0,0.0059
59006,0,0.0201
59007,0,0.032
59008,1,0.973
59009,0,0.0274
59010,0,0.0162
59011,0,0.0134
59012,0,0.0159
59013,0,0.0055
59014,0,0.0122
59015,0,0.1107
59016,0,0.0345
59017,0,0.0209
59018,0,0.0532
59019,0,0.015
59020,0,0.0084
59021,0,0.0366
59022,0,0.1224
59023,1,0.9463
59024,0,0.0209
59025,1,0.9443
59026,0,0.022
59027,0,0.0146
59028,0,0.0444
59029,0,0.0242
59030,0,0.0174
59031,0,0.3674
59032,1,0.7049
59033,0,0.1302
59034,0,0.1122
59035,0,0.0195
59036,0,0.0913
59037,0,0.0814
59038,0,0.016
59039,0,0.0215
59040,0,0.0214
59041,0,0.0323
59042,0,0.0802
59043,1,0.9563
59044,0,0.015
59045,0,0.0375
59046,0,0.3849
59047,0,0.1559
59048,0,0.0169
59049,0,0.072
59050,0,0.0087
59051,0,0.0349
59052,0,0.0095
59053,0,0.0307
59054,0,0.0551
59055,0,0.0757
59056,0,0.0113
59057,1,0.7063
59058,0,0.0063
59059,0,0.0895
59060,0,0.0058
59061,0,0.0079
59062,0,0.0216
59063,0,0.0043
59064,0,0.0271
59065,0,0.0029
59066,0,0.0421
59067,0,0.0097
59068,0,0.042
59069,0,0.0137
59070,0,0.015
59071,0,0.0522
59072,0,0.0185
59073,1,0.943
59074,0,0.039
59075,0,0.2147
59076,0,0.0173
59077,1,0.9819
59078,0,0.2106
59079,0,0.0359
59080,0,0.0119
59081,0,0.0169
59082,0,0.0358
59083,0,0.0086
